"@title","Indonesia"
"#00069","Oh!"
"#00070","Bagaimana ini?"
"#00071","bagaimana bisa seperti itu?"
"#00072","Aku menang!"
"#00073","Kemenangan!"
"#00074","Bosan ah..."
"#00075","Tak ada yang datang?"
"#00076","cuacanya bagus."
"#00077","Disini!"
"#00078","Whoa!"
"#00079","Nghhh..."
"#00080","Oh my"
"#00081","Whoopsie."
"#00082","Ah!"
"#00083","ayo masuk."
"#00084","datang kembali!"
"#00085","Makasih!"
"#00086","There we go. ini dia."
"#00087","Disini, disini."
"#00088","Aah!"
"#00089","Hey ho!"
"#00090","Lihatlah."
"#00091","bro, itu panas."
"#00092","Not feelin' it today.. tak terasa hari ini."
"#00093","dimana itu...?"
"#00094","Lagi dipakai.."
"#00095","What the..apa itu.?"
"#00096","Oooh!"
"#00097","Hmm..."
"#00098","…"
"#00099","Hum-de-dum..."
"#00100","apa selanjutnya?"
"#00102","Seseorang!"
"#00103","Siapa saja?"
"#00104","Ting!"
"#00105","itu kerja keras."
"#00106","Apakah itu membantu?"
"#00107","Aku akan datang lagi!"
"#00108","Sampai jumpa lagi."
"#00109","Mimpi indah."
"#00110","apaaaa?!"
"#00111","Oh, selamat datang!"
"#00112","Aku pemiliknya!"
"#00113","*uhuk uhuk*"
"#00114","Helloes!"
"#00115","Welcome!"
"#00116","..."
"#00117","Santai saja."
"#00118","Terima kasih semuanya."
"#00119","Ayo dimulai."
"#00120","Doo dee doo..."
"#00121","Ay!"
"#00122","Hiyah!"
"#00123","Hm."
"#00124","Hrah!"
"#00125","Get 'em!"
"#00126","Haaah!"
"#00127","aku melihatnya..."
"#00128","Coba lihat..."
"#00129","*tap tap*"
"#00130","Lihat saja ini!"
"#00131","Ayo kits pergi."
"#00132","Ayo kita mulai."
"#00133","Aku akan memantanya!"
"#00134","Ba-zap!"
"#00135","saya sedang berlatih."
"#00136","waktunya latihan."
"#00137","Oh my, oh my!"
"#00138","aku jadi gugup."
"#00139","aku suka itu!"
"#00140","aku suka ini!"
"#00141","Yadda yadda..."
"#00142","Kita gagal..."
"#00143","Conquest Event #1"
"#00144","=MID(#00143,1,-1)&'2'"
"#00145","=MID(#00143,1,-1)&'3'"
"#00146","=MID(#00143,1,-1)&'4'"
"#00147","=MID(#00143,1,-1)&'5'"
"#00148","=MID(#00143,1,-1)&'6'"
"#00149","=MID(#00143,1,-1)&'7'"
"#00150","=MID(#00143,1,-1)&'8'"
"#00151","=MID(#00143,1,-1)&'9'"
"#00152","=MID(#00143,1,-1)&'10'"
"#00153","=MID(#00143,1,-1)&'11'"
"#00154","=MID(#00143,1,-1)&'12'"
"#00155","=MID(#00143,1,-1)&'13'"
"#00156","=MID(#00143,1,-1)&'14'"
"#00157","=MID(#00143,1,-1)&'15'"
"#00158","=MID(#00143,1,-1)&'16'"
"#00159","=MID(#00143,1,-1)&'17'"
"#00160","=MID(#00143,1,-1)&'18'"
"#00161","=MID(#00143,1,-1)&'19'"
"#00162","=MID(#00143,1,-1)&'20'"
"#00163","=MID(#00143,1,-1)&'21'"
"#00164","=MID(#00143,1,-1)&'22'"
"#00165","=MID(#00143,1,-1)&'23'"
"#00166","=MID(#00143,1,-1)&'24'"
"#00167","=MID(#00143,1,-1)&'25'"
"#00168","=MID(#00143,1,-1)&'26'"
"#00169","=MID(#00143,1,-1)&'27'"
"#00170","=MID(#00143,1,-1)&'28'"
"#00171","=MID(#00143,1,-1)&'29'"
"#00172","=MID(#00143,1,-1)&'30'"
"#00173","=MID(#00143,1,-1)&'31'"
"#00174","=MID(#00143,1,-1)&'32'"
"#00175","=MID(#00143,1,-1)&'33'"
"#00176","=MID(#00143,1,-1)&'34'"
"#00177","=MID(#00143,1,-1)&'35'"
"#00178","=MID(#00143,1,-1)&'36'"
"#00179","=MID(#00143,1,-1)&'37'"
"#00180","=MID(#00143,1,-1)&'38'"
"#00181","=MID(#00143,1,-1)&'39'"
"#00182","=MID(#00143,1,-1)&'40'"
"#00183","=MID(#00143,1,-1)&'41'"
"#00184","=MID(#00143,1,-1)&'42'"
"#00185","=MID(#00143,1,-1)&'43'"
"#00186","=MID(#00143,1,-1)&'44'"
"#00187","=MID(#00143,1,-1)&'45'"
"#00188","=MID(#00143,1,-1)&'46'"
"#00189","=MID(#00143,1,-1)&'47'"
"#00190","=MID(#00143,1,-1)&'48'"
"#00191","=MID(#00143,1,-1)&'49'"
"#00192","=MID(#00143,1,-1)&'50'"
"#00193","=MID(#00143,1,-1)&'51'"
"#00194","=MID(#00143,1,-1)&'52'"
"#00195","=MID(#00143,1,-1)&'53'"
"#00196","=MID(#00143,1,-1)&'54'"
"#00197","=MID(#00143,1,-1)&'55'"
"#00198","=MID(#00143,1,-1)&'56'"
"#00199","=MID(#00143,1,-1)&'57'"
"#00200","=MID(#00143,1,-1)&'58'"
"#00201","=MID(#00143,1,-1)&'59'"
"#00202","=MID(#00143,1,-1)&'60'"
"#00203","=MID(#00143,1,-1)&'61'"
"#00204","=MID(#00143,1,-1)&'62'"
"#00205","=MID(#00143,1,-1)&'63'"
"#00206","=MID(#00143,1,-1)&'64'"
"#00207","=MID(#00143,1,-1)&'65'"
"#00208","=MID(#00143,1,-1)&'66'"
"#00209","=MID(#00143,1,-1)&'67'"
"#00210","=MID(#00143,1,-1)&'68'"
"#00211","=MID(#00143,1,-1)&'69'"
"#00212","=MID(#00143,1,-1)&'70'"
"#00213","=MID(#00143,1,-1)&'71'"
"#00214","=MID(#00143,1,-1)&'72'"
"#00215","=MID(#00143,1,-1)&'73'"
"#00216","=MID(#00143,1,-1)&'74'"
"#00217","=MID(#00143,1,-1)&'75'"
"#00218","=MID(#00143,1,-1)&'76'"
"#00219","=MID(#00143,1,-1)&'77'"
"#00220","=MID(#00143,1,-1)&'78'"
"#00221","=MID(#00143,1,-1)&'79'"
"#00222","=MID(#00143,1,-1)&'80'"
"#00223","=MID(#00143,1,-1)&'81'"
"#00224","=MID(#00143,1,-1)&'82'"
"#00225","=MID(#00143,1,-1)&'83'"
"#00226","=MID(#00143,1,-1)&'84'"
"#00227","=MID(#00143,1,-1)&'85'"
"#00228","=MID(#00143,1,-1)&'86'"
"#00229","=MID(#00143,1,-1)&'87'"
"#00230","=MID(#00143,1,-1)&'88'"
"#00231","=MID(#00143,1,-1)&'89'"
"#00232","=MID(#00143,1,-1)&'90'"
"#00233","=MID(#00143,1,-1)&'91'"
"#00234","=MID(#00143,1,-1)&'92'"
"#00235","=MID(#00143,1,-1)&'93'"
"#00236","=MID(#00143,1,-1)&'94'"
"#00237","=MID(#00143,1,-1)&'95'"
"#00238","=MID(#00143,1,-1)&'96'"
"#00239","=MID(#00143,1,-1)&'97'"
"#00240","=MID(#00143,1,-1)&'98'"
"#00241","=MID(#00143,1,-1)&'99'"
"#00242","=MID(#00143,1,-1)&'100'"
"#00243","Resident"
"#00244","Enemy"
"#00245","Lester Sheep"
"#00246","Customer"
"#00247","Pumpkin"
"#00248","Chimpan Z"
"#00249","Grizzly Bearington"
"#00250","Wairobot"
"#00251","King Ackbar"
"#00252","Forest Girl"
"#00253","Forest Boy"
"#00254","Master Smithy"
"#00255","Palace Guard Boy"
"#00256","Mystery Kingdom King"
"#00257","Mystery Kingdom Princess"
"#00258","Farm Boy"
"#00259","Village Girl"
"#00260","Kingdom Association Chairman"
"#00261","Neighboring King"
"#00262","Trophy King"
"#00263","Kairobot"
"#00264","Mover Spirit"
"#00265","Collector Mochipon"
"#00266","White Butterfly"
"#00267","Swallowtail Butterfly"
"#00268","Honey Bee"
"#00269","Dragonfly"
"#00270","Praying Mantis"
"#00271","Cicada"
"#00272","Ant"
"#00273","Ladybug"
"#00274","Firefly"
"#00275","Jewel Beetle"
"#00276","Rhinoceros Beetle"
"#00277","Stag Beetle"
"#00278","Spider"
"#00279","Snail"
"#00280","Stick Insect"
"#00281","Scorpion"
"#00282","Morpho Butterfly"
"#00283","Hercules Beetle"
"#00284","Cricket"
"#00285","Birdwing Butterfly"
"#00286","Ricefish"
"#00287","Goldfish"
"#00288","Bream"
"#00289","Anglerfish"
"#00290","Beakfish"
"#00291","Clownfish"
"#00292","Lionfish"
"#00293","Saury"
"#00294","Pufferfish"
"#00295","Flounder"
"#00296","Koi"
"#00297","Eel"
"#00298","Sea Angel"
"#00299","Rainbow Trout"
"#00300","Salmon"
"#00301","Octopus"
"#00302","Guppy"
"#00303","Angelfish"
"#00304","Squid"
"#00305","Coelacanth"
"#00306","Fruit Painting"
"#00307","Flowers Painting"
"#00308","Alley Painting"
"#00309","Square Portrait"
"#00310","Bird Painting"
"#00311","Young Lady Portrait"
"#00312","Boulder Painting"
"#00313","Oriental Landscape"
"#00314","Sunset Painting"
"#00315","Verdant Landscape"
"#00316","Angel Statue"
"#00317","Exotic Vase"
"#00318","Shiny Jewelry Box"
"#00319","Ancient Urn"
"#00320","Marble Bust"
"#00321","Doll"
"#00322","Mirror of Truth"
"#00323","Nice Statue"
"#00324","Majestic Mask"
"#00325","Oriental Pot"
"#00326","White Egg"
"#00327","Blue Egg"
"#00328","Green Egg"
"#00329","Red Egg"
"#00330","Purple Egg"
"#00331","Black Egg"
"#00332","Yellow Egg"
"#00333","Rainbow Egg"
"#00334","Bare-Handed"
"#00335","No Equipment"
"#00336","Hammer"
"#00337","Pickaxe"
"#00338","Sickle"
"#00339","Garden Hoe"
"#00340","Torch"
"#00341","Shovel"
"#00342","Net"
"#00343","Fishing Net"
"#00344","Fishing Rod"
"#00345","Axe"
"#00346","Watering Can"
"#00347","Rake"
"#00348","F/ Wooden Staff"
"#00349","E/ Metal Ore Staff"
"#00350","D/ Sturdy Staff"
"#00351","C/ Magic Staff"
"#00352","B/ Diamond Staff"
"#00353","F/ Iron Staff"
"#00354","E/ Wooden Wand"
"#00355","C/ Spiked Staff"
"#00356","B/ Shining Staff"
"#00357","A/ Light Staff"
"#00358","E/ Green Staff"
"#00359","D/ Grief Staff"
"#00360","C/ Lightning Staff"
"#00361","B/ Thunder Staff"
"#00362","A/ Frosty Rod"
"#00363","E/ Red Staff"
"#00364","D/ Royal Scepter"
"#00365","C/ Ancient Staff"
"#00366","A/ Legendary Staff"
"#00367","S/ Mystic Staff"
"#00368","F/ Wooden Club"
"#00369","E/ Sturdy Club"
"#00370","D/ Oak Club"
"#00371","C/ Elder Club"
"#00372","B/ Hero Club"
"#00373","E/ Gnarly Club"
"#00374","D/ Ladle"
"#00375","C/ Club"
"#00376","B/ Iron Club"
"#00377","A/ Red Club"
"#00378","D/ Mace"
"#00379","C/ Cudgel"
"#00380","B/ Morning Star"
"#00381","A/ Steel Club"
"#00382","S/ Golden Club"
"#00383","F/ Prayer Club"
"#00384","G/ Holy Club"
"#00385","C/ Light Club"
"#00386","A/ Angelic Club"
"#00387","S/ Divine Club"
"#00388","F/ Bludgeon"
"#00389","E/ Tough Club"
"#00390","D/ The Spike"
"#00391","C/ Artistic Club"
"#00392","A/ Emerald Club"
"#00393","F/ Wooden Stick"
"#00394","E/ Pokey Stick"
"#00395","D/ Spiked Club"
"#00396","C/ Folk Art Club"
"#00397","B/ Tree Branch"
"#00398","F/ Wooden Spear"
"#00399","E/ Iron Spear"
"#00400","D/ Master's Spear"
"#00401","B/ Trident"
"#00402","A/ Legendary Spear"
"#00403","E/ Fisherman's Pike"
"#00404","C/ Iron Pike"
"#00405","B/ Red Spear"
"#00406","A/ Steel Spear"
"#00407","S/ Fire Spear"
"#00408","E/ Bronze Spear"
"#00409","C/ Paladin's Spear"
"#00410","B/ Commander's Spear"
"#00411","A/ Golden Spear"
"#00412","S/ Black Spear"
"#00413","F/ Tiny Mallet"
"#00414","E/ Mallet"
"#00415","C/ Iron Hammer"
"#00416","B/ Big Bad Hammer"
"#00417","S/ Fire Hammer"
"#00418","E/ Basic Hammer"
"#00419","D/ Long Hammer"
"#00420","B/ Silver Hammer"
"#00421","A/ Master's Hammer"
"#00422","S/ Golden Hammer"
"#00423","E/ Sword"
"#00424","D/ Steel Sword"
"#00425","C/ Master's Sword"
"#00426","B/ Commander's Sword"
"#00427","A/ Artisanal Sword"
"#00428","F/ Fruit Knife"
"#00429","E/ Kitchen Knife"
"#00430","D/ Silver Knife"
"#00431","B/ Master's Knife"
"#00432","A/ Golden Knife"
"#00433","F/ Tiny Knife"
"#00434","E/ Scalpel"
"#00435","C/ Silver Scalpel"
"#00436","B/ Lightning Scalpel"
"#00437","A/ Ice Scalpel"
"#00438","E/ Pirate Sword"
"#00439","D/ Cutlass"
"#00440","C/ Tornado Sword"
"#00441","A/ Teardop Sword"
"#00442","S/ Fire Sword"
"#00443","E/ Infantry Sword"
"#00444","D/ Sabre"
"#00445","C/ Silver Sword"
"#00446","B/ Destruction Sword"
"#00447","A/ Ancient Sword"
"#00448","E/ Ice Knife"
"#00449","D/ Ice Sword"
"#00450","C/ Ice Greatsword"
"#00451","B/ Frosty Sword"
"#00452","S/ Blizzard Sword"
"#00453","E/ Kunai"
"#00454","D/ Ninja Star"
"#00455","C/ Giant Ninja Star"
"#00456","B/ Flame Ninja Star"
"#00457","A/ Giga Ninja Star"
"#00458","F/ Simple Katana"
"#00459","E/ Samurai Sword"
"#00460","C/ Shogun's Katana"
"#00461","B/ Master's Katana"
"#00462","A/ Legendary Katana"
"#00463","F/ Bronze Sword"
"#00464","E/ Copper Sword"
"#00465","C/ Tempered Sword"
"#00466","B/ Lightweight Sword"
"#00467","A/ Honor Sword"
"#00468","E/ Longish Sword"
"#00469","D/ Bastard Sword"
"#00470","C/ Saint's Sword"
"#00471","A/ Sword of Rage"
"#00472","S/ Legendary Sword"
"#00473","D/ Black Sword"
"#00474","C/ Darkness Sword"
"#00475","B/ Sword of the Void"
"#00476","A/ Royal Sword"
"#00477","S/ Conqueror's Sword"
"#00478","D/ Normal Sword"
"#00479","C/ Courage Sword"
"#00480","B/ Hero Sword"
"#00481","A/ Immortal Sword"
"#00482","S/ Yggdrasil Sword"
"#00483","F/ Novel"
"#00484","D/ Research Guide"
"#00485","E/ Magnifying Glass"
"#00486","C/ Ancient Tome"
"#00487","B/ Paintbrush"
"#00488","D/ Pistol"
"#00489","C/ Rifle"
"#00490","B/ Musket"
"#00491","A/ Mighty Rifle"
"#00492","S/ Golden Gun"
"#00493","D/ Bow"
"#00494","C/ Infantry Bow"
"#00495","B/ Hunting Bow"
"#00496","A/ Swift Bow"
"#00497","S/ Champion's Bow"
"#00498","F/ Adze"
"#00499","D/ Lumberjack's Axe"
"#00500","C/ Steel Axe"
"#00501","B/ Battle Axe"
"#00502","S/ Legendary Axe"
"#00503","A/ Kairo Sword"
"#00504","A/ Kairo Hammer"
"#00505","A/ Kairo Lance"
"#00506","A/ Kairo Bow"
"#00507","A/ Kairo Gun"
"#00508","F/ Wooden Shield"
"#00509","F/ Leather Shield"
"#00510","E/ Infantry Shield"
"#00511","E/ Buckler"
"#00512","D/ Iron Shield"
"#00513","C/ Noble Shield"
"#00514","A/ Hero Shield"
"#00515","A/ Crystal Shield"
"#00516","B/ Shell Shield"
"#00517","S/ Wairo Shield"
"#00518","B/ Scholar's Shield"
"#00519","A/ Holy Shield"
"#00520","D/ Folk Art Shield"
"#00521","D/ Sturdy Shield"
"#00522","C/ Nightmare Shield"
"#00523","B/ Legendary Shield"
"#00524","B/ Green Shield"
"#00525","S/ Mirror Shield"
"#00526","A/ Golden Shield"
"#00527","S/ Shining Shield"
"#00528","C/ Demonic Shield"
"#00529","=#00523"
"#00530","C/ Conqueror's Shield"
"#00531","S/ Kairo Shield"
"#00532","F/ Loincloth"
"#00533","F/ Linen Garment"
"#00534","F/ Common Garment"
"#00535","E/ Yellow Garment"
"#00536","E/ Durable Garment"
"#00537","D/ Stylish Garment"
"#00538","D/ Thick Garment"
"#00539","D/ Chain Mail"
"#00540","C/ Skirt"
"#00541","B/ Dress"
"#00542","D/ Pajamas"
"#00543","C/ Fur Coat"
"#00544","C/ Coat"
"#00545","C/ Robe"
"#00546","B/ Fine Robe"
"#00547","C/ Men's Kimono"
"#00548","D/ Cape"
"#00549","C/ Durable Cape"
"#00550","B/ Purple Cape"
"#00551","A/ Royal Robe"
"#00552","E/ Leather Chest Guard"
"#00553","D/ Iron Chest Guard"
"#00554","C/ Leather Armor"
"#00555","C/ Light Mail"
"#00556","B/ Bronze Armor"
"#00557","B/ Silver Armor"
"#00558","A/ Verdant Armor"
"#00559","A/ Heavy Armor"
"#00560","S/ Golden Armor"
"#00561","S/ Black Chainmail"
"#00562","F/ Bandana"
"#00563","F/ Alice Band"
"#00564","F/ Headband"
"#00565","F/ Turban"
"#00566","E/ Hat"
"#00567","E/ Helmet"
"#00568","D/ Bandana"
"#00569","D/ Ninja Headband"
"#00570","D/ Forehead Guard"
"#00571","F/ Chef Hat"
"#00572","F/ Top Hat"
"#00573","F/ Hat"
"#00574","F/ Holy Hat"
"#00575","E/ Angel's Halo"
"#00576","E/ Pirate Hat"
"#00577","E/ Director's Beret"
"#00578","D/ Winged Bandana"
"#00579","D/ Winged Hat"
"#00580","D/ Winged Helm"
"#00581","D/ Magic Hat"
"#00582","C/ Mage's Hat"
"#00583","B/ Wizard's Hat"
"#00584","A/ Legendary Hat"
"#00585","B/ Mystic Hat"
"#00586","C/ Mail Coif"
"#00587","B/ Shampoo Hat"
"#00588","A/ Kairo Hat"
"#00589","S/ Royal Crown"
"#00590","A/ Tiara"
"#00591","D/ Lookout Hat"
"#00592","C/ Guard Helmet"
"#00593","C/ Bronze Headpiece"
"#00594","C/ Helmet"
"#00595","B/ Iron Mask"
"#00596","B/ Iron Headpiece"
"#00597","A/ Black Headpiece"
"#00598","S/ Golden Headpiece"
"#00599","A/ Dragon Headpiece"
"#00600","A/ Robot Helmet"
"#00601","E/ Locket"
"#00602","D/ Necklace"
"#00603","C/ Amulet"
"#00604","B/ Blue Pendant"
"#00605","A/ Red Pendant"
"#00606","S/ Golden Pendant"
"#00607","C/ Magic Pendant"
"#00608","B/ Golden Bracelet"
"#00609","D/ Leather Band"
"#00610","C/ Wristband"
"#00611","S/ Gold Medal"
"#00612","D/ Scarf"
"#00613","B/ Collar"
"#00614","A/ Golden Collar"
"#00615","D/ Ring"
"#00616","C/ Pearl Ring"
"#00617","B/ Silver Ring"
"#00618","A/ Light Ring"
"#00619","S/ Golden Ring"
"#00620","C/ Gloves"
"#00621","B/ Leather Gloves"
"#00622","A/ Silk Gloves"
"#00623","B/ Silver Earrings"
"#00624","A/ Golden Earrings"
"#00625","S/ Royal Earrings"
"#00626","E/ Leather Shoes"
"#00627","F/ Wooden Sandals"
"#00628","D/ Loafers"
"#00629","A/ Silver Boots"
"#00630","B/ Boots"
"#00631","S/ Winged Sandals"
"#00632","C/ Candle"
"#00633","B/ Charm"
"#00634","A/ Golden Bell"
"#00635","B/ Red Ribbon"
"#00636","A/ Ribbon"
"#00637","C/ Wooden Carving"
"#00638","C/ Cloth Bag"
"#00639","B/ Gold Bag"
"#00640","S/ Sally Prin Figure"
"#00641","S/ Santa Staff"
"#00642","S/ Santa Shield"
"#00643","=#00001"
"#00644","Discovery"
"#00645","You got <0> x<1>!"
"#00646","Acquired"
"#00647","You got <0> Diamond(s)!"
"#00648","=#00645"
"#00649","A new friend joins <0>!"
"#00650","<1> #<0>: <2>"
"#00651","Event Message"
"#00652","Failed to get a new hi-score."
"#00653","Use"
"#00654","Used <0> x<1>."
"#00655","Event"
"#00656","Your Energy has been recovered!"
"#00657","A miracle has happened! Your town slightly expanded!"
"#00658","You got Skill <0> x<1>!"
"#00659","Area Discovery"
"#00660","Discovered an unexplored area!"
"#00661","New Jobs"
"#00662","You've been introduced to a D-Grade Townsman and the Researcher!"
"#00663","Boosts movement speed."
"#00664","Builds bridges."
"#00665","Guides visitors to town."
"#00666","A small plot of land."
"#00667","A regular plot of land."
"#00668","A large plot of land."
"#00669","A very large plot of land."
"#00670","The heart of the entire town."
"#00671","Slightly helps defend the town from attack."
"#00672","Moderately helps defend the town from attack."
"#00673","Decently helps defend the town from attack."
"#00674","Remarkably helps defend the town from attack."
"#00675","A gate in your defensive walls."
"#00676","Expands your territory a little."
"#00677","Used to store <pic=grass> in town."
"#00678","Used to store <pic=food> in town."
"#00679","Used to store <pic=wood> in town."
"#00680","Used to store <pic=iron> in town."
"#00681","Used to store <pic=magic> in town."
"#00682","Used to store Items in town."
"#00683","Used to store Energy in town."
"#00684","Used to store Treasure in town."
"#00685","Produces fish."
"#00686","Produces <pic=grass>."
"#00687","Produces <pic=wood>."
"#00688","Used by farmers to produce <pic=food>."
"#00689","Produces <pic=iron>."
"#00690","Produces <pic=magic>."
"#00691","Used to gather Energy."
"#00692","Has an effect on the surrounding area."
"#00693","Makes MP and Vigor recover faster."
"#00694","Helps guide visitors to town."
"#00695","Restores wasteland outside of town."
"#00696","Allows you to rent horses."
"#00697","Used to move things between towns."
"#00698","Used to analyze treasure."
"#00699","Used for recovery."
"#00700","Used for research."
"#00701","Grants EXP when used."
"#00702","Used to cook simple dishes."
"#00703","Lures away attacking monsters."
"#00704","Something good may happen when it's used."
"#00705","Boosts durability of surrounding facilities."
"#00706","Place in lush, natural surroundings."
"#00707","Used for gathering materials outside of town."
"#00708","Used to store materials for shops."
"#00709","Perfect for a good night's sleep."
"#00710","Enough room for two!"
"#00711","Used to send goods to visitors and allies."
"#00712","Displays goods for visitors and allies."
"#00713","The monarch will certainly like it."
"#00714","=#00700"
"#00715","Handy when you need to recover."
"#00716","Used to make and sell accessories."
"#00717","Used to make and sell food."
"#00718","=#00698"
"#00719","Used to make and sell furniture."
"#00720","Used to make and sell weapons."
"#00721","Used to make and sell armor."
"#00722","Used to make and sell skills."
"#00723","Used to make and sell items."
"#00724","Sometimes produces items."
"#00725","Sometimes produces ore."
"#00726","Sometimes produces meals."
"#00727","Produces seeds."
"#00728","Room decoration."
"#00729","Used for training to improve stats."
"#00730","Sometimes produces water."
"#00731","Produces tools."
"#00732","=#00701"
"#00733","Produces ore."
"#00734","A place for your friends to stay."
"#00735","A place for visiting adventurers to stay."
"#00736","Perfect for a new baby."
"#00737","Used during conquests with Household Heads."
"#00738","Handy when residents reach the end of their lifespan."
"#00739","It's wild and untamed."
"#00740","Rents out dragons to ride."
"#00741","Traps attacking monsters."
"#00742","Damages attacking monsters."
"#00743","Helps allies recover while out on quests."
"#00744","Used to upgrade equipment."
"#00745","Used to manage Friends."
"#00746","Used to manage Missions."
"#00747","A place to team up with Friends."
"#00748","A place to buy treasure."
"#00749","Used to manage Monsters."
"#00750","A place to get trophies."
"#00751","A place to check the daily rankings."
"#00752","Used to view Suggested Friends."
"#00753","Used to purchase jobs up to Rank A."
"#00754","Used to purchase materials."
"#00755","A place to trade Gold Coins for goods."
"#00756","Helps allies become instructors."
"#00757","Used to fuse Monsters."
"#00758","Used to sell Monsters."
"#00759","A place to challenge Kairobot."
"#00760","A place to challenge other players."
"#00761","One of the great rulers of antiquity."
"#00762","Used to store Copper Coins."
"#00763","Used to store Silver Coins."
"#00764","Used to store Gold Coins."
"#00765","A majestic bronze statue."
"#00766","Used to store treasure."
"#00767","Used to store items."
"#00768","Used to care for the town's children."
"#00769","Place outside town to attract monsters at night."
"#00770","=#00703"
"#00771","A place to store eggs."
"#00772","Sometimes produces gifts."
"#00773","Home to powerful monsters."
"#00774","Used for moving stuff from town to town."
"#00775","A place to trade equipment."
"#00776","Offers all kinds of things for sale."
"#00777","A place to go on dates and increase affection."
"#00778","Builds bridges across water."
"#00779","A place to create works of art."
"#00780","A place to plan surveys."
"#00781","A place to raise bugs."
"#00782","A place to attract visitors by air."
"#00783","Switch it out with the Register."
"#00784","A place to keep reindeer."
"#00785","A place for flying ships to dock."
"#00786","A place to store collectibles."
"#00787","A place to catch fish."
"#00788","A place to ride flying carpets."
"#00789","=#00001"
"#00790","Get A-D Rank facilities!"
"#00791","Event period: <0>/<1> - <2> (<3>)!"
"#00792","High Grade Storehouse"
"#00793","Get D-A Grade weapons!"
"#00794","n/a"
"#00795","Get D-A Grade weapons. The Kairo Series will appear until the 10th!"
"#00796","Get D-A Grade weapons. The Kairo Series will appear until the 25th!"
"#00797","Daily Bonus: A Chance to Get S-Grade Staves!"
"#00798","Daily Bonus: A Chance to Get S-Grade Clubs!"
"#00799","Daily Bonus: A Chance to Get S-Grade Spears!"
"#00800","Daily Bonus: A Chance to Get S-Grade Hammers!"
"#00801","Daily Bonus: A Chance to Get S-Grade Swords!"
"#00802","Daily Bonus: A Chance to Get S-Grade Guns!"
"#00803","Daily Bonus: A Chance to Get S-Grade Bows!"
"#00804","Daily Bonus: A Chance to Get S-Grade Axes!"
"#00805","Get bonuses for helping friends!"
"#00806","=#00794"
"#00807","Get some great items!"
"#00808","=#00794"
"#00809","Get A-C Rank jobs!"
"#00810","=#00001"
"#00811","=#00791"
"#00812","S Rank Samurai"
"#00813","S Rank Viking"
"#00814","S Rank Pirate"
"#00815","S Rank Champion"
"#00816","S Rank Wizard"
"#00817","S Grade Merchant"
"#00818","S Rank Paladin"
"#00819","S Rank Gunner"
"#00820","S Rank Archer"
"#00821","S Rank Ninja"
"#00822","S Rank Monk"
"#00823","S Rank Guard"
"#00824","S Rank Knight"
"#00825","S Rank Mage"
"#00827","S Rank Santa Claus"
"#00828","Hi there. We'll be founding your kingdom in just moment."
"#00829","Too much stuff on screen?<br>Check out different Settings<br>in the Menu."
"#00830","Uninstalling the game<br>deletes your save data,<br>so be careful!"
"#00831","Make sure to play where you have a strong signal!"
"#00832","Be sure to save before you stop playing. The game will also autosave at set times."
"#00833","App data will be saved to your device. Please ensure you have enough free space."
"#00834","Build Stables to help your allies out when they're deployed on a quest."
